symbol,asset_type,interval,vol_interval,vol_daily,vol_annual,volume_per_minute,volume_per_day,S0_median,S0_recent,spread_pct_mean,spread_pct_median,spread_bps_mean,num_trading_days,num_intervals
AAPL,stock,1m,0.0012704179846696872,0.02508874496165868,0.3982714792516416,27647.938567493115,10782696.041322315,212.71,201.1,0.11100363400147373,0.08206862678365702,11.100363400147373,47190,47190
MSFT,stock,1m,0.0010451864339613185,0.020640778228481194,0.3276621963563855,10534.841894469168,4108588.3388429754,415.2,495.88,0.08648970780505374,0.06511641978288435,8.648970780505374,47190,47190
GOOG,stock,1m,0.0011451231917335826,0.022614371060367382,0.35899201129120883,15078.286628522992,5880531.785123967,171.2,178.39,0.10859490445618536,0.08323424524069972,10.859490445618537,47190,47190
BTCUSDT,crypto,1m,0.0007162538958459358,0.027179924326106063,0.5192717251363597,18.16887605101734,26163.18151346497,95667.8,90408.34,0.07974886024526052,0.06238509834321643,7.974886024526053,43201,43201
ETHUSDT,crypto,1m,0.001091329112107522,0.04141302805330812,0.79119479003504,410.96746995439923,591793.1567343349,3171.23,2997.57,0.12532338439589144,0.09587001308377885,12.532338439589145,43201,43201
SOLUSDT,crypto,1m,0.0012167146442065584,0.04617107445808941,0.8820971389616165,2895.6961764079533,4169802.4940274525,142.27,133.72,0.14944305322300686,0.12127643447282391,14.944305322300686,43201,43201
